部品,面,基準軸1,位置1(端から mm),基準軸2,位置2(端から mm),穴径,加工,用途
Z Plate,-Y面(手前)から貫通,X,122.5,Z,260,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Plate,-Y面(手前)から貫通,X,47.5,Z,300,Φ6.6,貫通,Z上部アングル M6
Z Plate,-Y面(手前)から貫通,X,97.5,Z,300,Φ6.6,貫通,Z上部アングル M6
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,20,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,80,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,140,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,200,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,260,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,20,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,80,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,140,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,200,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Rail Spacer,-Y面(手前)から貫通,X,10,Z,260,Φ4.5,貫通,Zレール M4 (前面から皿ボルト)
Z Top Angle,+Z面(上)から貫通,X,16.4,Y,15.4,Φ5.5,貫通,HM10-57 M5 (現物合わせ)
Z Top Angle,+Z面(上)から貫通,X,63.6,Y,15.4,Φ5.5,貫通,HM10-57 M5 (現物合わせ)
Z Top Angle,+Z面(上)から貫通,X,40,Y,39,Φ22,貫通,Zねじ逃げ
Z Top Angle,+Z面(上)から貫通,X,16.4,Y,62.6,Φ5.5,貫通,HM10-57 M5 (現物合わせ)
Z Top Angle,+Z面(上)から貫通,X,63.6,Y,62.6,Φ5.5,貫通,HM10-57 M5 (現物合わせ)
Z Top Angle,-Y面(手前)から貫通,X,15,Z,42,Φ6.6,貫通,Z上部アングル M6
Z Top Angle,-Y面(手前)から貫通,X,65,Z,42,Φ6.6,貫通,Z上部アングル M6
